Name,MarketCap,Sales,Market_Cap_Category,Sales_Qrt_Category,PS_Ratio
3M India,23101.19,645.77,Mid Cap,Low Sales,35.77
Jindal Steel,23094.39,6992.56,Mid Cap,High Sales,3.3
Edelweiss.Fin.,22915.42,2069.45,Mid Cap,Medium Sales,11.07
Gillette India,21976.74,407.52,Mid Cap,Very Low Sales,53.93
Adani Enterp.,21776.04,9938.37,Mid Cap,High Sales,2.19
Adani Transmissi,21677.26,1782.29,Mid Cap,Medium Sales,12.16
Balkrishna Inds,21372.18,1106.31,Mid Cap,Low Sales,19.32
Cholaman.Inv.&Fn,20832.4,1404.33,Mid Cap,Medium Sales,14.83
Indraprastha Gas,20779.52,1183.9,Mid Cap,Medium Sales,17.55
M R P L,20750.78,14100.98,Mid Cap,High Sales,1.47
Glaxosmi. Pharma,20489.35,703.91,Mid Cap,Low Sales,29.11
PNB Housing,20037.85,1438.49,Mid Cap,Medium Sales,13.93
RBL Bank,19748.79,1150.79,Mid Cap,Medium Sales,17.16
Castrol India,18803.22,970.3,Mid Cap,Low Sales,19.38
Canara Bank,18590.66,10774.64,Mid Cap,High Sales,1.73
GRUH Finance,18535.09,428.47,Mid Cap,Very Low Sales,43.26
KIOCL,18534.15,442.81,Mid Cap,Very Low Sales,41.86
Voltas,18453.44,1374.67,Mid Cap,Medium Sales,13.42
Godrej Inds.,18298.09,2458.48,Mid Cap,Medium Sales,7.44
Whirlpool India,18254.06,958.01,Mid Cap,Low Sales,19.05
Sundaram Finance,18159.85,677.23,Mid Cap,Low Sales,26.81
Federal Bank,18086.81,2501.2,Mid Cap,Medium Sales,7.23
Tata Comm,17963.55,4114.63,Mid Cap,High Sales,4.37
Tata Chemicals,17941.47,2573.91,Mid Cap,Medium Sales,6.97
Exide Inds.,17930.75,2276.54,Mid Cap,Medium Sales,7.88
IDFC Bank,17762.77,2283.72,Mid Cap,Medium Sales,7.78
NBCC,17712.0,1321.5,Mid Cap,Medium Sales,13.4
IDBI Bank,17559.35,5797.2,Mid Cap,High Sales,3.03
The Ramco Cement,17246.58,1056.36,Mid Cap,Low Sales,16.33
Dewan Hsg. Fin.,17097.54,2631.6,Mid Cap,Medium Sales,6.5
MphasiS,16728.78,1660.69,Mid Cap,Medium Sales,10.07
Apollo Hospitals,16683.97,1896.14,Mid Cap,Medium Sales,8.8
Reliance Nip.Lif,16655.58,394.0,Mid Cap,Very Low Sales,42.27
Tata Global,16589.24,1730.39,Mid Cap,Medium Sales,9.59
Godrej Propert.,16545.51,627.03,Mid Cap,Low Sales,26.39
AU Small Finance,16453.67,464.17,Mid Cap,Very Low Sales,35.45
Indian Hotels,16150.13,1197.26,Mid Cap,Medium Sales,13.49
Motil.Oswal.Fin.,16108.15,728.63,Mid Cap,Low Sales,22.11
H U D C O,16065.25,1064.49,Mid Cap,Low Sales,15.09
Oberoi Realty,16044.51,356.2,Mid Cap,Very Low Sales,45.04
Indian Bank,15739.16,4354.22,Mid Cap,High Sales,3.61
SJVN,15512.35,436.58,Mid Cap,Very Low Sales,35.53
Bank of India,15339.87,9334.84,Mid Cap,High Sales,1.64
Supreme Inds.,15248.94,1278.3,Mid Cap,Medium Sales,11.93
Muthoot Finance,15226.72,1553.71,Mid Cap,Medium Sales,9.8
NLC India,15201.61,1706.48,Mid Cap,Medium Sales,8.91
Glenmark Pharma.,14785.53,2203.67,Mid Cap,Medium Sales,6.71
Jubilant Life,14775.08,2067.76,Mid Cap,Medium Sales,7.15
Crompton Gr. Con,14638.57,938.19,Mid Cap,Low Sales,15.6
Honeywell Auto,14526.24,721.48,Mid Cap,Low Sales,20.13
Natco Pharma,14456.9,562.2,Mid Cap,Low Sales,25.71
PC Jeweller,14334.81,2644.89,Mid Cap,Medium Sales,5.42
Quess Corp,14330.19,1583.95,Mid Cap,Medium Sales,9.05
CRISIL,14164.81,441.13,Mid Cap,Very Low Sales,32.11
WABCO India,13843.64,649.91,Mid Cap,Low Sales,21.3
Amara Raja Batt.,13774.32,1553.46,Mid Cap,Medium Sales,8.87
Sterlite Tech.,13743.95,835.18,Mid Cap,Low Sales,16.46
AIA Engg.,13593.35,572.16,Mid Cap,Low Sales,23.76
KRBL,13492.55,783.51,Mid Cap,Low Sales,17.22
Indiabulls Vent.,13396.15,238.43,Mid Cap,Very Low Sales,56.18
Century Textiles,13369.97,2069.39,Mid Cap,Medium Sales,6.46
Jubilant Food.,13178.43,795.17,Mid Cap,Low Sales,16.57
Bayer Crop Sci.,13166.76,479.7,Mid Cap,Very Low Sales,27.45
Graphite India,13129.9,933.06,Mid Cap,Low Sales,14.07
JSW Energy,13104.0,1993.2,Mid Cap,Medium Sales,6.57
Central Bank,13046.18,6026.55,Mid Cap,High Sales,2.16
CESC,12996.56,1706.0,Mid Cap,Medium Sales,7.62
Shri.City Union.,12995.31,1338.09,Mid Cap,Medium Sales,9.71
L&T Technology,12942.25,969.1,Mid Cap,Low Sales,13.35
Rain Industries,12655.17,3050.81,Mid Cap,High Sales,4.15
Torrent Power,12599.37,2754.64,Mid Cap,High Sales,4.57
Dilip Buildcon,12526.06,1942.12,Mid Cap,Medium Sales,6.45
TI Financial,12507.91,886.68,Mid Cap,Low Sales,14.11
JM Financial,12382.64,837.73,Mid Cap,Low Sales,14.78
Adani Power,12091.5,4844.46,Mid Cap,High Sales,2.5
Reliance Power,12033.99,2494.65,Mid Cap,Medium Sales,4.82
Reliance Capital,11966.83,4749.0,Mid Cap,High Sales,2.52
Syngene Intl.,11950.0,387.7,Mid Cap,Very Low Sales,30.82
Abbott India,11924.12,881.49,Mid Cap,Low Sales,13.53
Hatsun AgroProd.,11896.52,1012.94,Mid Cap,Low Sales,11.74
Symphony,11882.55,217.63,Mid Cap,Very Low Sales,54.6
Gujarat Gas,11759.77,1571.33,Mid Cap,Medium Sales,7.48
Reliance Infra.,11737.24,5861.04,Mid Cap,High Sales,2.0
Aditya Bir. Fas.,11718.17,1855.0,Mid Cap,Medium Sales,6.32
Ajanta Pharma,11651.8,587.05,Mid Cap,Low Sales,19.85
P I Inds.,11564.22,537.74,Mid Cap,Low Sales,21.51
City Union Bank,11554.4,865.36,Mid Cap,Low Sales,13.35
Varun Beverages,11498.3,329.92,Mid Cap,Very Low Sales,34.85
Mindtree,11438.78,1377.7,Mid Cap,Medium Sales,8.3
Prestige Estates,11353.13,1272.3,Mid Cap,Medium Sales,8.92
Future Consumer,11203.15,784.05,Mid Cap,Low Sales,14.29
Sundram Fasten.,11202.53,848.13,Mid Cap,Low Sales,13.21
Sanofi India,11182.45,667.5,Mid Cap,Low Sales,16.75
Guj.St.Petronet,11064.74,350.18,Mid Cap,Very Low Sales,31.6
Godrej Agrovet,10918.75,865.77,Mid Cap,Low Sales,12.61
Finolex Cables,10900.75,656.78,Mid Cap,Low Sales,16.6
SRF,10842.62,1397.06,Mid Cap,Medium Sales,7.76
GE T&D India,10778.42,1438.55,Mid Cap,Medium Sales,7.49
Alembic Pharma,10764.29,840.02,Mid Cap,Low Sales,12.81
SPARC,10755.13,19.42,Mid Cap,Very Low Sales,553.82
GMR Infra.,10653.44,2072.29,Mid Cap,Medium Sales,5.14
HEG,10630.76,842.71,Mid Cap,Low Sales,12.61
Trent,10589.27,521.32,Mid Cap,Very Low Sales,20.31
Engineers India,10565.56,473.42,Mid Cap,Very Low Sales,22.32
Avanti Feeds,10558.13,706.43,Mid Cap,Low Sales,14.95
Pfizer,10508.48,456.54,Mid Cap,Very Low Sales,23.02
Escorts,10450.56,1205.03,Mid Cap,Medium Sales,8.67
Tata Motors-DVR,10442.09,7769.67,Mid Cap,High Sales,1.34
Blue Dart Exp.,10422.45,704.59,Mid Cap,Low Sales,14.79
Indbull.RealEst.,10338.4,2100.13,Mid Cap,Medium Sales,4.92
ERIS Lifescience,10289.81,182.21,Mid Cap,Very Low Sales,56.47
Arvind Ltd,10247.7,2705.75,Mid Cap,Medium Sales,3.79
Hexaware Tech.,9885.05,1004.83,Mid Cap,Low Sales,9.84
SKF India,9569.14,700.49,Small Cap,Low Sales,13.66
Delta Corp,9531.57,162.17,Small Cap,Very Low Sales,58.78
Union Bank (I),9528.82,8260.47,Small Cap,High Sales,1.15
TV18 Broadcast,9463.27,271.13,Small Cap,Very Low Sales,34.9
Minda Inds.,9457.04,1056.16,Small Cap,Low Sales,8.95
Solar Inds.,9317.76,465.68,Small Cap,Very Low Sales,20.01
Kajaria Ceramics,9306.54,661.16,Small Cap,Low Sales,14.08
Astral Poly,9162.14,528.54,Small Cap,Very Low Sales,17.33
Bata India,9145.38,674.0,Small Cap,Low Sales,13.57
Phoenix Mills,9097.33,416.61,Small Cap,Very Low Sales,21.84
BASF India,8778.35,1278.74,Small Cap,Medium Sales,6.86
DCM Shriram,8681.95,1783.73,Small Cap,Medium Sales,4.87
Infibeam Incorp.,8646.54,213.48,Small Cap,Very Low Sales,40.5
Aegis Logistics,8613.86,1442.08,Small Cap,Medium Sales,5.97
Jet Airways,8539.88,6086.2,Small Cap,High Sales,1.4
SpiceJet,8458.24,2081.95,Small Cap,Medium Sales,4.06
Thomas Cook (I),8440.65,3005.45,Small Cap,High Sales,2.81
Guj Fluorochem,8439.77,968.97,Small Cap,Low Sales,8.71
Wockhardt,8428.58,1005.3,Small Cap,Low Sales,8.38
Akzo Nobel,8389.47,711.99,Small Cap,Low Sales,11.78
I D F C,8380.86,2789.58,Small Cap,High Sales,3.0
Security & Intel,8247.08,1537.72,Small Cap,Medium Sales,5.36
Asahi India Glas,8183.96,640.38,Small Cap,Low Sales,12.78
TTK Prestige,8153.33,457.97,Small Cap,Very Low Sales,17.8
ITI,8124.6,250.97,Small Cap,Very Low Sales,32.37
Karur Vysya Bank,8065.7,1422.32,Small Cap,Medium Sales,5.67
Vardhman Textile,8023.74,1647.98,Small Cap,Medium Sales,4.87
Fortis Health.,7966.43,1156.61,Small Cap,Medium Sales,6.89
Ipca Labs.,7943.03,859.21,Small Cap,Low Sales,9.24
Sheela Foam,7815.74,532.21,Small Cap,Very Low Sales,14.69
IRB Infra.Devl.,7812.73,1296.19,Small Cap,Medium Sales,6.03
Atul,7789.01,803.68,Small Cap,Low Sales,9.69
Finolex Inds.,7784.17,722.72,Small Cap,Low Sales,10.77
Dish TV,7765.91,740.77,Small Cap,Low Sales,10.48
Rel. Comm.,7702.01,1144.0,Small Cap,Medium Sales,6.73
Dr Lal Pathlabs,7550.78,262.7,Small Cap,Very Low Sales,28.74
OCL India,7453.05,859.24,Small Cap,Low Sales,8.67
NCC,7439.01,2780.26,Small Cap,High Sales,2.68
Relaxo Footwear,7251.91,457.5,Small Cap,Very Low Sales,15.85
J K Cements,7230.76,1126.11,Small Cap,Low Sales,6.42
G N F C,7208.38,1590.89,Small Cap,Medium Sales,4.53
Cochin Shipyard,7154.99,615.04,Small Cap,Low Sales,11.63
Birla Corpn.,7137.67,1389.32,Small Cap,Medium Sales,5.14
Future Lifestyle,7009.13,1188.97,Small Cap,Medium Sales,5.9
Century Ply.,6966.23,509.93,Small Cap,Very Low Sales,13.66
Blue Star,6952.99,981.3,Small Cap,Low Sales,7.09
Kalpataru Power,6950.23,1417.37,Small Cap,Medium Sales,4.9
Suzlon Energy,6942.31,1193.06,Small Cap,Medium Sales,5.82
Cyient,6921.97,983.3,Small Cap,Low Sales,7.04
Hind.Copper,6902.14,440.14,Small Cap,Very Low Sales,15.68
Guj Pipavav Port,6864.85,162.68,Small Cap,Very Low Sales,42.2
Carborundum Uni.,6838.18,611.59,Small Cap,Low Sales,11.18
Can Fin Homes,6811.5,392.1,Small Cap,Very Low Sales,17.37
Sadbhav Engg.,6795.06,2153.34,Small Cap,Medium Sales,3.16
Advanta,6742.41,361.68,Small Cap,Very Low Sales,18.64
Capital First,6710.63,987.64,Small Cap,Low Sales,6.79
Lak. Mach. Works,6654.81,542.42,Small Cap,Low Sales,12.27
Himadri Specialt,6646.41,500.08,Small Cap,Very Low Sales,13.29
Coffee Day Enter,6601.62,965.3,Small Cap,Low Sales,6.84
PVR,6591.31,557.25,Small Cap,Low Sales,11.83
Chambal Fert.,6542.79,2330.1,Small Cap,Medium Sales,2.81
Vijaya Bank,6531.58,3135.23,Small Cap,High Sales,2.08
Welspun India,6520.67,1397.95,Small Cap,Medium Sales,4.66
CEAT,6476.26,1574.15,Small Cap,Medium Sales,4.11
Strides Shasun,6469.51,749.04,Small Cap,Low Sales,8.64
Narayana Hrudaya,6379.12,553.84,Small Cap,Low Sales,11.52
Jyothy Lab.,6324.62,431.21,Small Cap,Very Low Sales,14.67
Johnson Con. Hit,6209.11,377.4,Small Cap,Very Low Sales,16.45
Tata Elxsi,6153.54,345.54,Small Cap,Very Low Sales,17.81
Syndicate Bank,6086.37,5375.57,Small Cap,High Sales,1.13
D B Corp,6059.97,598.58,Small Cap,Low Sales,10.12
Jain Irrigation,6019.89,1889.63,Small Cap,Medium Sales,3.19
Persistent Sys,5996.4,791.89,Small Cap,Low Sales,7.57
Redington India,5896.54,11728.4,Small Cap,High Sales,0.5
Sunteck Realty,5865.04,201.5,Small Cap,Very Low Sales,29.11
Raymond,5863.1,1484.24,Small Cap,Medium Sales,3.95
MOIL,5840.29,299.8,Small Cap,Very Low Sales,19.48
Bombay Dyeing,5823.25,619.93,Small Cap,Low Sales,9.39
GE Shipping Co,5802.66,584.42,Small Cap,Low Sales,9.93
Grindwell Norton,5706.51,365.42,Small Cap,Very Low Sales,15.62
EID Parry,5652.33,3557.94,Small Cap,High Sales,1.59
I O B,5591.02,4254.68,Small Cap,High Sales,1.31
Galaxy Surfact.,5567.11,826.95,Small Cap,Low Sales,6.73
Laurus Labs,5502.94,473.77,Small Cap,Very Low Sales,11.62
Guj Alkalies,5498.45,617.61,Small Cap,Low Sales,8.9
Timken India,5495.76,278.58,Small Cap,Very Low Sales,19.73
C P C L,5427.82,8587.17,Small Cap,High Sales,0.63
Dishman Carbogen,5416.39,459.82,Small Cap,Very Low Sales,11.78
St Bk of Bikaner,5402.95,2262.28,Small Cap,Medium Sales,2.39
IFB Inds.,5293.53,531.74,Small Cap,Very Low Sales,9.96
eClerx Services,5259.14,339.89,Small Cap,Very Low Sales,15.47
Sobha,5224.11,691.9,Small Cap,Low Sales,7.55
Kirloskar Oil,5207.77,684.61,Small Cap,Low Sales,7.61
G S F C,5200.13,1537.45,Small Cap,Medium Sales,3.38
CG Power & Indu.,5151.85,1516.08,Small Cap,Medium Sales,3.4
Westlife Develop,5145.88,305.19,Small Cap,Very Low Sales,16.86
K P R Mill Ltd,5145.36,714.51,Small Cap,Low Sales,7.2
Tube Investments,5139.43,1274.21,Small Cap,Medium Sales,4.03
Bajaj Electrical,5127.38,1145.13,Small Cap,Medium Sales,4.48
VST Inds.,5109.25,238.97,Small Cap,Very Low Sales,21.38
BEML Ltd,5089.87,731.51,Small Cap,Low Sales,6.96
FDC,5084.19,248.77,Small Cap,Very Low Sales,20.44
DCB Bank,5080.5,610.78,Small Cap,Low Sales,8.32
Star Cement,5072.67,377.43,Small Cap,Very Low Sales,13.44
Netwrk.18 Media,5067.23,366.02,Small Cap,Very Low Sales,13.84
Gulf Oil Lubric.,5020.44,355.95,Small Cap,Very Low Sales,14.1
UCO Bank,5012.59,3449.55,Small Cap,High Sales,1.45
Jagran Prakashan,4995.05,598.07,Small Cap,Low Sales,8.35
Elgi Equipment,4954.08,415.42,Small Cap,Very Low Sales,11.93
JK Lakshmi Cem.,4931.55,837.41,Small Cap,Low Sales,5.89
Zydus Wellness,4921.45,132.4,Small Cap,Very Low Sales,37.17
Equitas Holdings,4886.09,429.86,Small Cap,Very Low Sales,11.37
India Cements,4885.75,1213.08,Small Cap,Medium Sales,4.03
Dishman Pharma.,4861.2,534.22,Small Cap,Very Low Sales,9.1
South Ind.Bank,4856.71,1576.96,Small Cap,Medium Sales,3.08
Polaris Consulta,4830.44,680.07,Very Small Cap,Low Sales,7.1
V I P Inds.,4819.63,337.99,Very Small Cap,Very Low Sales,14.26
APL Apollo,4775.03,1314.38,Very Small Cap,Medium Sales,3.63
Sadbhav Infra.,4735.67,624.37,Very Small Cap,Low Sales,7.58
Jindal Stain.,4726.91,2988.86,Very Small Cap,High Sales,1.58
NIIT Tech.,4658.2,756.5,Very Small Cap,Low Sales,6.16
Caplin Point Lab,4600.73,141.61,Very Small Cap,Very Low Sales,32.49
Indian Energy Ex,4595.7,64.75,Very Small Cap,Very Low Sales,70.98
Godfrey Phillips,4512.29,581.94,Very Small Cap,Low Sales,7.75
Jindal Stain .Hi,4498.09,2438.58,Very Small Cap,Medium Sales,1.84
R C F,4493.52,1985.06,Very Small Cap,Medium Sales,2.26
Rallis India,4493.2,390.16,Very Small Cap,Very Low Sales,11.52
G M D C,4456.77,506.06,Very Small Cap,Very Low Sales,8.81
Manpasand Bever.,4406.8,143.13,Very Small Cap,Very Low Sales,30.79
Tata Inv.Corpn.,4401.66,47.02,Very Small Cap,Very Low Sales,93.61
Essel Propack,4371.24,595.05,Very Small Cap,Low Sales,7.35
Allcargo Logist.,4369.69,1479.91,Very Small Cap,Medium Sales,2.95
Radico Khaitan,4358.48,482.52,Very Small Cap,Very Low Sales,9.03
Cera Sanitary.,4356.9,290.88,Very Small Cap,Very Low Sales,14.98
Forbes & Co,4331.82,63.93,Very Small Cap,Very Low Sales,67.76
S B T,4328.47,2365.94,Very Small Cap,Medium Sales,1.83
KNR Construct.,4325.39,433.19,Very Small Cap,Very Low Sales,9.98
PNC Infratech,4307.29,472.48,Very Small Cap,Very Low Sales,9.12
Greenply Inds.,4295.02,399.29,Very Small Cap,Very Low Sales,10.76
Ujjivan Fin.Ser.,4293.42,0.0,Very Small Cap,Very Low Sales,
Monsanto India,4291.43,183.74,Very Small Cap,Very Low Sales,23.36
Vinati Organics,4279.07,185.65,Very Small Cap,Very Low Sales,23.05
Lux Industries,4269.78,297.43,Very Small Cap,Very Low Sales,14.36
Ratnamani Metals,4194.31,535.6,Very Small Cap,Low Sales,7.83
Cox & Kings,4179.29,1356.07,Very Small Cap,Medium Sales,3.08
Omaxe,4168.29,506.82,Very Small Cap,Very Low Sales,8.22
Ashoka Buildcon,4166.87,729.22,Very Small Cap,Low Sales,5.71
Time Technoplast,4156.58,754.7,Very Small Cap,Low Sales,5.51
Phillips Carbon,4149.67,612.4,Very Small Cap,Low Sales,6.78
Allahabad Bank,4137.11,4243.83,Very Small Cap,High Sales,0.97
Welspun Corp,4103.05,2304.16,Very Small Cap,Medium Sales,1.78
NESCO,4093.02,80.62,Very Small Cap,Very Low Sales,50.77
CARE Ratings,4090.69,74.82,Very Small Cap,Very Low Sales,54.67
Andhra Bank,4067.25,4549.26,Very Small Cap,High Sales,0.89
Zensar Tech.,4066.42,793.76,Very Small Cap,Low Sales,5.12
S H Kelkar & Co.,4057.34,283.12,Very Small Cap,Very Low Sales,14.33
Mahindra Holiday,4030.35,267.54,Very Small Cap,Very Low Sales,15.06
Sintex Plastics,4022.02,1332.73,Very Small Cap,Medium Sales,3.02
SREI Infra. Fin.,4009.63,1405.19,Very Small Cap,Medium Sales,2.85
Techno Elec.,3975.44,275.64,Very Small Cap,Very Low Sales,14.42
Minda Corp,3974.83,636.2,Very Small Cap,Low Sales,6.25
KPIT Tech.,3927.26,912.77,Very Small Cap,Low Sales,4.3
Triveni Turbine,3910.17,165.59,Very Small Cap,Very Low Sales,23.61
Shankara Build.,3901.07,624.62,Very Small Cap,Low Sales,6.25
Multi Comm. Exc.,3847.19,60.97,Very Small Cap,Very Low Sales,63.1
Brigade Enterpr.,3846.15,423.91,Very Small Cap,Very Low Sales,9.07
